instance_id,timestamp,cpu_utilization,memory_utilization
server_1,2026-04-19 00:00:00+00:00,10.76,29.48
server_1,2026-04-19 01:00:00+00:00,7.4,26.61
server_1,2026-04-19 02:00:00+00:00,11.88,37.16
server_1,2026-04-19 03:00:00+00:00,12.35,34.66
server_1,2026-04-19 04:00:00+00:00,5.12,32.01
server_1,2026-04-19 05:00:00+00:00,6.74,35.15
server_1,2026-04-19 06:00:00+00:00,10.32,42.66
server_1,2026-04-19 07:00:00+00:00,9.21,24.19
server_1,2026-04-19 08:00:00+00:00,9.96,28.33
server_1,2026-04-19 09:00:00+00:00,7.87,28.09
server_1,2026-04-19 10:00:00+00:00,14.08,29.32
server_1,2026-04-19 11:00:00+00:00,15.48,28.91
server_1,2026-04-19 12:00:00+00:00,14.93,31.83
server_1,2026-04-19 13:00:00+00:00,18.23,29.32
server_1,2026-04-19 14:00:00+00:00,16.59,34.94
server_1,2026-04-19 15:00:00+00:00,12.61,32.42
server_1,2026-04-19 16:00:00+00:00,14.46,34.78
server_1,2026-04-19 17:00:00+00:00,9.48,33.15
server_1,2026-04-19 18:00:00+00:00,12.2,34.48
server_1,2026-04-19 19:00:00+00:00,9.88,29.76
server_1,2026-04-19 20:00:00+00:00,9.54,39.62
server_1,2026-04-19 21:00:00+00:00,8.3,31.64
server_1,2026-04-19 22:00:00+00:00,13.06,24.92
server_1,2026-04-19 23:00:00+00:00,9.61,27.16
server_1,2026-04-20 00:00:00+00:00,10.93,24.66
server_1,2026-04-20 01:00:00+00:00,11.12,31.76
server_1,2026-04-20 02:00:00+00:00,13.33,31.98
server_1,2026-04-20 03:00:00+00:00,12.91,30.45
server_1,2026-04-20 04:00:00+00:00,13.03,40.4
server_1,2026-04-20 05:00:00+00:00,13.08,34.57
server_1,2026-04-20 06:00:00+00:00,17.35,36.78
server_1,2026-04-20 07:00:00+00:00,10.98,27.92
server_1,2026-04-20 08:00:00+00:00,10.72,27.56
server_1,2026-04-20 09:00:00+00:00,9.97,31.44
server_1,2026-04-20 10:00:00+00:00,16.96,34.43
server_1,2026-04-20 11:00:00+00:00,21.25,27.81
server_1,2026-04-20 12:00:00+00:00,20.38,34.21
server_1,2026-04-20 13:00:00+00:00,19.75,34.77
server_1,2026-04-20 14:00:00+00:00,19.79,33.86
server_1,2026-04-20 15:00:00+00:00,22.29,32.35
server_1,2026-04-20 16:00:00+00:00,20.29,32.74
server_1,2026-04-20 17:00:00+00:00,16.78,32.96
server_1,2026-04-20 18:00:00+00:00,10.34,31.78
server_1,2026-04-20 19:00:00+00:00,12.58,34.62
server_1,2026-04-20 20:00:00+00:00,12.29,36.43
server_1,2026-04-20 21:00:00+00:00,12.55,31.01
server_1,2026-04-20 22:00:00+00:00,14.18,30.94
server_1,2026-04-20 23:00:00+00:00,12.56,33.95
server_1,2026-04-21 00:00:00+00:00,13.7,35.04
server_1,2026-04-21 01:00:00+00:00,12.17,30.32
server_1,2026-04-21 02:00:00+00:00,12.72,35.41
server_1,2026-04-21 03:00:00+00:00,13.58,36.47
server_1,2026-04-21 04:00:00+00:00,8.36,35.89
server_1,2026-04-21 05:00:00+00:00,11.2,38.83
server_1,2026-04-21 06:00:00+00:00,10.82,28.12
server_1,2026-04-21 07:00:00+00:00,10.4,31.5
server_1,2026-04-21 08:00:00+00:00,11.31,31.8
server_1,2026-04-21 09:00:00+00:00,15.74,32.92
server_1,2026-04-21 10:00:00+00:00,13.26,29.84
server_1,2026-04-21 11:00:00+00:00,20.85,29.15
